"p_boot","md","p_sign","p_or","poz","M","med_dl","cv0_ort","cv0_min","isaret","boot_g","sign_g","or_g","rho_m","sd_het"
0.518537353478392,-0.00169893441665514,0.65625,0.34375,3,6,0.00780252730093522,20.9162616258375,5.76505111577779,"011100",FALSE,FALSE,FALSE,0,0.18
0.713179485167323,-0.0121892672356694,0.890625,0.890625,2,6,-0.00346462190474339,10.0514941267515,0.327070361288066,"100010",FALSE,FALSE,FALSE,0,0.18
0.36109144691993,0.00303411875310896,0.65625,0.65625,3,6,-0.00187137047742536,37.6176509637908,12.2697783937832,"001011",FALSE,FALSE,FALSE,0,0.18
0.802176642006453,-0.00473555640068909,0.65625,0.65625,3,6,-0.00648823495155559,16.3922155465599,5.56468684175126,"101001",FALSE,FALSE,FALSE,0,0.18
0.998519435875489,-0.0469106653526181,0.984375,0.984375,1,6,-0.0635152072392815,10.8461681952859,3.78414221216957,"000100",FALSE,FALSE,FALSE,0,0.18
0.177600879601889,0.0257088492825653,0.890625,0.65625,2,6,-0.000779690736760097,17.9006625137504,0.985036361697384,"100010",FALSE,FALSE,FALSE,0,0.18
0.131325578250293,0.0356121052635525,0.109375,0.109375,5,6,0.0253124134738626,8.71478740576967,1.32812775805021,"101111",FALSE,FALSE,FALSE,0,0.18
0.111530158305951,0.0849410245771585,0.34375,0.34375,4,6,0.0144495023962397,13.5978898344123,0.452994240694777,"101101",FALSE,FALSE,FALSE,0,0.18
0.748436392821583,-0.00403145254995955,0.65625,0.65625,3,6,-0.00107247799257015,29.7180745272081,14.5105807305715,"111000",FALSE,FALSE,FALSE,0,0.18
0.99906774896605,-0.013683648054291,0.984375,0.984375,1,6,-0.0133794413694381,68.1815739922295,21.0762652732998,"000100",FALSE,FALSE,FALSE,0,0.18
0.467253180177423,0.000998764201301036,0.65625,0.34375,3,6,-0.00493404872865955,39.3292861986906,10.2336475786194,"110100",FALSE,FALSE,FALSE,0,0.18
0.888281975142934,-0.0465898304092418,0.984375,0.984375,1,6,-0.0213058980451204,38.4870831343629,8.91890406486055,"000010",FALSE,FALSE,FALSE,0,0.18
0.119009752756708,0.0316417289127759,0.34375,0.34375,4,6,0.0204236302348848,9.50796253164771,6.70927129292271,"111100",FALSE,FALSE,FALSE,0,0.18
0.133051996655119,0.027109439133029,0.65625,0.109375,3,6,0.00788885900043246,62.4044601753355,7.8994467937984,"010110",FALSE,FALSE,FALSE,0,0.18
0.746878611958913,-0.00367202328855868,0.65625,0.65625,3,6,-0.00137011506264906,28.0875095573337,10.2284720315186,"001011",FALSE,FALSE,FALSE,0,0.18
0.908719779959473,-0.0717499943567367,0.890625,0.890625,2,6,-0.0400504467937022,15.3735070070927,2.47565497894739,"010001",FALSE,FALSE,FALSE,0,0.18
0.848150048191306,-0.139053228800648,0.890625,0.890625,2,6,-0.00322092029441179,29.7469536738865,0.860655416003263,"110000",FALSE,FALSE,FALSE,0,0.18
0.954506864197974,-0.0311208783951742,0.890625,0.890625,2,6,-0.0245597792318328,13.9882644355754,2.22447884100525,"010001",FALSE,FALSE,FALSE,0,0.18
0.559725391716014,-0.00102233930821875,0.65625,0.65625,3,6,-0.00236134890406325,17.3241278037184,6.2227206651783,"100110",FALSE,FALSE,FALSE,0,0.18
0.00235357944050215,0.029593102589033,0.015625,0.015625,6,6,0.0199898301413384,10.2146377549874,7.84541135762477,"111111",TRUE,TRUE,TRUE,0,0.18
0.142629276031589,0.0524264456517411,0.65625,0.65625,3,6,0.0187359133002905,3.25920633234498,0.50922568691737,"100101",FALSE,FALSE,FALSE,0,0.18
0.576960074324017,-0.000414076934364016,0.34375,0.34375,4,6,0.000906487330262107,9.72710403152111,4.83300176364975,"001111",FALSE,FALSE,FALSE,0,0.18
0.52412311258296,-0.00111271337035929,0.890625,0.890625,2,6,-0.00700603915143311,20.8134308463941,2.57765141334029,"101000",FALSE,FALSE,FALSE,0,0.18
0.999295784333897,-0.0132412762511559,0.984375,0.984375,1,6,-0.0131517672561299,55.6252804595383,13.3552415132358,"010000",FALSE,FALSE,FALSE,0,0.18
0.152999412038623,0.0327484667809027,0.109375,0.109375,5,6,0.0165641464295265,18.8914509621916,7.19860704492001,"011111",FALSE,FALSE,FALSE,0,0.18
0.757893679748692,-0.0645367579107411,0.34375,0.109375,4,6,0.0130455807032304,8.10812325723294,0.336742188307465,"111010",FALSE,FALSE,FALSE,0,0.18
0.520130415713638,-0.000563031525677086,0.34375,0.34375,4,6,0.00418858584257875,14.9783241004665,7.34598834919083,"101110",FALSE,FALSE,FALSE,0,0.18
0.592527070623269,-0.0171745123398776,0.65625,0.65625,3,6,-0.00964656335810565,10.6776364283743,0.573553320334831,"110010",FALSE,FALSE,FALSE,0,0.18
0.641499582239197,-0.00437171398754675,0.984375,0.984375,1,6,-0.00696621430439293,9.31289688865295,1.87184897668966,"000010",FALSE,FALSE,FALSE,0,0.18
0.99260181124159,-0.0262774891345413,0.984375,0.890625,1,6,-0.0191508132026874,34.2581085844634,3.18580045665925,"000010",FALSE,FALSE,FALSE,0,0.18
