"etiket","X","Y","Z","moderator","dl","ocr","cv0","cv1"
"olcek_Z","ERISIM","SOY_index","MTT","Gelir",-0.959865134506206,0.666666666666667,8.49246054819024,22.1767382020686
"olcek_Z","ERISIM","SOY_index","MTT","MeslekGrup",-1.52538071865986,0.2,10.9235596505397,50.2144388531902
"olcek_Z","ERISIM","GUV_Saglayici","FCV","Cinsiyet",-0.573074883718622,0,2.54058761769794,4.50627236551618
"olcek_Z","ERISIM","GUV_Saglayici","FCV","YasGrup",-0.995982165211201,0,3.68250881250381,9.96995857850627
"olcek_Z","ERISIM","GUV_Saglayici","FCV","EgitimGrup",-1.32518801754847,0,4.36955449963343,16.4421650989901
"olcek_Z","ERISIM","GUV_Saglayici","FCV","MedeniDurum",1.96729014974823,1,2.55071142576674,0.356679427389173
"olcek_Z","ERISIM","GUV_Saglayici","FCV","Gelir",-0.955125551021718,0.666666666666667,2.04328585094058,5.31049354536031
"olcek_Z","ERISIM","GUV_Saglayici","FCV","MeslekGrup",-0.874525995921861,0,11.4864054510786,27.5413964383486
"olcek_Z","ERISIM","GUV_Odeyici","FCV","Cinsiyet",1.30881051114183,1,4.29521174336006,1.16031362709
"olcek_Z","ERISIM","GUV_Odeyici","FCV","YasGrup",-2.31060293316791,0,0.584282216501906,5.88985737818053
"olcek_Z","ERISIM","GUV_Odeyici","FCV","EgitimGrup",-1.50996059054806,0.333333333333333,3.15780330091777,14.293962151604
"olcek_Z","ERISIM","GUV_Odeyici","FCV","MedeniDurum",-0.274837718219774,1,1.96775888573549,2.5901945614845
"olcek_Z","ERISIM","GUV_Odeyici","FCV","Gelir",-0.56764608900976,0.333333333333333,4.73882250090094,8.3598022895248
"olcek_Z","ERISIM","GUV_Odeyici","FCV","MeslekGrup",-0.989957687375026,0,10.5621341525545,28.4239768313272
"olcek_Z","ERISIM","GUVEN","FCV","Cinsiyet",0.0488912607158098,1,3.06901614068955,2.92257703708463
"olcek_Z","ERISIM","GUVEN","FCV","YasGrup",-1.18455769382912,0,2.28093934487212,7.45693929874537
"olcek_Z","ERISIM","GUVEN","FCV","EgitimGrup",-1.39621815496981,0,3.40459469405638,13.7541975943583
"olcek_Z","ERISIM","GUVEN","FCV","MedeniDurum",0.612769807407681,1,2.03925412652178,1.10496571262678
"olcek_Z","ERISIM","GUVEN","FCV","Gelir",-0.904391503315578,0.333333333333333,2.33435781188095,5.76686342460726
"olcek_Z","ERISIM","GUVEN","FCV","MeslekGrup",-0.90887803226721,0,11.1302611686761,27.6201523281579
"olcek_Z","ERISIM","SOY_index","FCV","Cinsiyet",-1.93179062569795,0,3.74830066568491,25.8702383476213
"olcek_Z","ERISIM","SOY_index","FCV","YasGrup",-0.621992804240964,0,14.1945768605249,26.4393329275761
"olcek_Z","ERISIM","SOY_index","FCV","EgitimGrup",-0.830830475432271,0.333333333333333,14.645194068987,33.6140020406274
"olcek_Z","ERISIM","SOY_index","FCV","MedeniDurum",-1.04955859571109,0,3.06755559593427,8.7621351992347
"olcek_Z","ERISIM","SOY_index","FCV","Gelir",0.275887753556343,1,8.49246054819024,6.44491225341678
"olcek_Z","ERISIM","SOY_index","FCV","MeslekGrup",-0.522816294022711,0.8,10.9235596505397,18.4255481305768
"olcek_Z","ERISIM","GUV_Saglayici","RNS","Cinsiyet",-0.902606997349802,0,2.54058761769794,6.26514917873289
"olcek_Z","ERISIM","GUV_Saglayici","RNS","YasGrup",-1.01907307898295,0,3.68250881250381,10.2028525519353
"olcek_Z","ERISIM","GUV_Saglayici","RNS","EgitimGrup",-1.35952588842696,0,4.36955449963343,17.0165593417324
"olcek_Z","ERISIM","GUV_Saglayici","RNS","MedeniDurum",-0.226697958648113,1,2.55071142576674,3.19974228363957
"olcek_Z","ERISIM","GUV_Saglayici","RNS","Gelir",-0.836928109711675,0.333333333333333,2.04328585094058,4.71848293465353
"olcek_Z","ERISIM","GUV_Saglayici","RNS","MeslekGrup",-0.887459255387391,0,11.4864054510786,27.8999098407454
"olcek_Z","ERISIM","GUV_Odeyici","RNS","Cinsiyet",0.353096542088738,1,4.29521174336006,3.0174264859179
"olcek_Z","ERISIM","GUV_Odeyici","RNS","YasGrup",-2.55192094235236,0,0.584282216501906,7.49735125892509
"olcek_Z","ERISIM","GUV_Odeyici","RNS","EgitimGrup",-1.52094901102377,0.333333333333333,3.15780330091777,14.4518963526549
"olcek_Z","ERISIM","GUV_Odeyici","RNS","MedeniDurum",1.55542752535342,1,1.96775888573549,0.415392147729946
"olcek_Z","ERISIM","GUV_Odeyici","RNS","Gelir",-0.145707692200412,0.666666666666667,4.73882250090094,5.48214462759724
"olcek_Z","ERISIM","GUV_Odeyici","RNS","MeslekGrup",-0.997850435764336,0.4,10.5621341525545,28.6492078052246
"olcek_Z","ERISIM","GUVEN","RNS","Cinsiyet",0.0181944143221258,1,3.06901614068955,3.01368210096319
"olcek_Z","ERISIM","GUVEN","RNS","YasGrup",-1.27350158713845,0,2.28093934487212,8.15057878895644
"olcek_Z","ERISIM","GUVEN","RNS","EgitimGrup",-1.47431703992076,0,3.40459469405638,14.8714451613181
"olcek_Z","ERISIM","GUVEN","RNS","MedeniDurum",-0.0078096235224947,1,2.03925412652178,2.05524228307644
"olcek_Z","ERISIM","GUVEN","RNS","Gelir",-0.755233488070972,0.666666666666667,2.33435781188095,4.96776637025513
"olcek_Z","ERISIM","GUVEN","RNS","MeslekGrup",-0.935127380154607,0,11.1302611686761,28.354762656498
"olcek_Z","ERISIM","SOY_index","RNS","Cinsiyet",-1.87376320025788,0,3.74830066568491,24.411779543369
"olcek_Z","ERISIM","SOY_index","RNS","YasGrup",-0.713585754673302,0,14.1945768605249,28.9753577344186
"olcek_Z","ERISIM","SOY_index","RNS","EgitimGrup",-0.987681988794069,0.333333333333333,14.645194068987,39.3223956710325
"olcek_Z","ERISIM","SOY_index","RNS","MedeniDurum",-0.428386872564694,1,3.06755559593427,4.70802215554794
"olcek_Z","ERISIM","SOY_index","RNS","Gelir",-0.144650725026072,0.333333333333333,8.49246054819024,9.814191993851
"olcek_Z","ERISIM","SOY_index","RNS","MeslekGrup",-0.589550534691171,0.6,10.9235596505397,19.6971199105379
"olcek_Z","ERISIM","GUV_Saglayici","ILT","Cinsiyet",-1.30327355334982,0,2.54058761769794,9.35273632944825
"olcek_Z","ERISIM","GUV_Saglayici","ILT","YasGrup",-1.65485020274042,0,3.68250881250381,19.2679764660245
"olcek_Z","ERISIM","GUV_Saglayici","ILT","EgitimGrup",-1.74038729986238,0,4.36955449963343,24.9044962758401
"olcek_Z","ERISIM","GUV_Saglayici","ILT","MedeniDurum",-0.148518903629705,1,2.55071142576674,2.95911789337425
"olcek_Z","ERISIM","GUV_Saglayici","ILT","Gelir",-1.1167660006674,0,2.04328585094058,6.2421534515207
"olcek_Z","ERISIM","GUV_Saglayici","ILT","MeslekGrup",-1.18528124960756,0,11.4864054510786,37.5790025511518
"olcek_Z","ERISIM","GUV_Odeyici","ILT","Cinsiyet",2.54907550502723,1,4.29521174336006,0.335687477514383
"olcek_Z","ERISIM","GUV_Odeyici","ILT","YasGrup",-2.91398060223138,0,0.584282216501906,10.7683303680594
"olcek_Z","ERISIM","GUV_Odeyici","ILT","EgitimGrup",-1.47402108218308,0,3.15780330091777,13.7893659606711
"olcek_Z","ERISIM","GUV_Odeyici","ILT","MedeniDurum",-0.940285541832582,0,1.96775888573549,5.0388648001268
"olcek_Z","ERISIM","GUV_Odeyici","ILT","Gelir",-1.06842087337267,0.333333333333333,4.73882250090094,13.793666838419
"olcek_Z","ERISIM","GUV_Odeyici","ILT","MeslekGrup",-1.30556850603715,0,10.5621341525545,38.972016477487
"olcek_Z","ERISIM","GUVEN","ILT","Cinsiyet",-0.831346150704969,0,3.06901614068955,7.04771314378752
"olcek_Z","ERISIM","GUVEN","ILT","YasGrup",-1.9078821597518,0,2.28093934487212,15.3707986062954
"olcek_Z","ERISIM","GUVEN","ILT","EgitimGrup",-1.74056620505881,0,3.40459469405638,19.4081311056176
"olcek_Z","ERISIM","GUVEN","ILT","MedeniDurum",-0.192732532676769,1,2.03925412652178,2.47271478493727
"olcek_Z","ERISIM","GUVEN","ILT","Gelir",-1.18865334979788,0,2.33435781188095,7.66289752377496
"olcek_Z","ERISIM","GUVEN","ILT","MeslekGrup",-1.21544429061173,0,11.1302611686761,37.5289232196542
"olcek_Z","ERISIM","SOY_index","ILT","Cinsiyet",-2.54624920556823,0,3.74830066568491,47.8251565869358
"olcek_Z","ERISIM","SOY_index","ILT","YasGrup",-1.69216252358601,0,14.1945768605249,77.0937724235738
"olcek_Z","ERISIM","SOY_index","ILT","EgitimGrup",-1.44809097646923,0.333333333333333,14.645194068987,62.3150648984686
"olcek_Z","ERISIM","SOY_index","ILT","MedeniDurum",-1.66414867995079,0,3.06755559593427,16.2002990868002
"olcek_Z","ERISIM","SOY_index","ILT","Gelir",-0.989818452811964,0.666666666666667,8.49246054819024,22.8510536781262
"olcek_Z","ERISIM","SOY_index","ILT","MeslekGrup",-1.37243720091881,0.2,10.9235596505397,43.0929363602383
